hour_taipei,n_requests,n_users,request_share,suppression_reason
0,133,9,0.0134,依政策豁免抑制（此維度分的是請求不是人）
1,147,9,0.0148,依政策豁免抑制（此維度分的是請求不是人）
2,396,6,0.0399,依政策豁免抑制（此維度分的是請求不是人）
3,292,4,0.0294,依政策豁免抑制（此維度分的是請求不是人）
4,271,3,0.0273,依政策豁免抑制（此維度分的是請求不是人）
5,252,1,0.0254,依政策豁免抑制（此維度分的是請求不是人）
6,284,2,0.0286,依政策豁免抑制（此維度分的是請求不是人）
7,197,3,0.0198,依政策豁免抑制（此維度分的是請求不是人）
8,156,8,0.0157,依政策豁免抑制（此維度分的是請求不是人）
9,140,10,0.0141,依政策豁免抑制（此維度分的是請求不是人）
10,300,14,0.0302,依政策豁免抑制（此維度分的是請求不是人）
11,346,14,0.0348,依政策豁免抑制（此維度分的是請求不是人）
12,681,12,0.0685,依政策豁免抑制（此維度分的是請求不是人）
13,492,26,0.0495,依政策豁免抑制（此維度分的是請求不是人）
14,869,34,0.0875,依政策豁免抑制（此維度分的是請求不是人）
15,1077,29,0.1084,依政策豁免抑制（此維度分的是請求不是人）
16,1016,24,0.1022,依政策豁免抑制（此維度分的是請求不是人）
17,405,18,0.0408,依政策豁免抑制（此維度分的是請求不是人）
18,672,16,0.0676,依政策豁免抑制（此維度分的是請求不是人）
19,489,12,0.0492,依政策豁免抑制（此維度分的是請求不是人）
20,332,17,0.0334,依政策豁免抑制（此維度分的是請求不是人）
21,393,12,0.0395,依政策豁免抑制（此維度分的是請求不是人）
22,368,17,0.037,依政策豁免抑制（此維度分的是請求不是人）
23,229,12,0.023,依政策豁免抑制（此維度分的是請求不是人）
