model_family,n_requests,n_users,request_share,suppression_reason
gpt-5.4-mini,3236,47,0.326,依政策豁免抑制（此維度分的是請求不是人）
gpt-4o-mini,1712,7,0.1723,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.6-sol,1602,22,0.1612,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.6-luna,1108,50,0.1115,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.6-terra,633,27,0.0637,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.4,605,23,0.0609,依政策豁免抑制（此維度分的是請求不是人）
gpt-5-chat-latest,416,1,0.0419,依政策豁免抑制（此維度分的是請求不是人）
gpt-4o-mini-tts,214,2,0.0215,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.5,141,14,0.0142,依政策豁免抑制（此維度分的是請求不是人）
gpt-oss:20b,61,2,0.0061,依政策豁免抑制（此維度分的是請求不是人）
whisper-1,59,2,0.0059,依政策豁免抑制（此維度分的是請求不是人）
gpt-4.1,40,2,0.004,依政策豁免抑制（此維度分的是請求不是人）
gpt-5-mini,23,2,0.0023,依政策豁免抑制（此維度分的是請求不是人）
tts-1,19,1,0.0019,依政策豁免抑制（此維度分的是請求不是人）
bge-m3:latest,18,1,0.0018,依政策豁免抑制（此維度分的是請求不是人）
gpt-4o,16,3,0.0016,依政策豁免抑制（此維度分的是請求不是人）
gpt-5,8,1,0.0008,依政策豁免抑制（此維度分的是請求不是人）
gpt-4.1-nano,7,2,0.0007,依政策豁免抑制（此維度分的是請求不是人）
gpt-image-1,4,1,0.0004,依政策豁免抑制（此維度分的是請求不是人）
chat-latest,3,1,0.0003,依政策豁免抑制（此維度分的是請求不是人）
o4-mini,2,1,0.0002,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.3-codex,2,2,0.0002,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.1-codex-max,2,1,0.0002,依政策豁免抑制（此維度分的是請求不是人）
gpt-4.1-mini,1,1,0.0001,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.6,1,1,0.0001,依政策豁免抑制（此維度分的是請求不是人）
gpt-image-2,1,1,0.0001,依政策豁免抑制（此維度分的是請求不是人）
o3-deep-research,1,1,0.0001,依政策豁免抑制（此維度分的是請求不是人）
(未記錄),2,1,,依政策豁免抑制（此維度分的是請求不是人）
