degree,entry_year,n_users,n_requests,n_threads,user_share,request_share,suppression_reason
B,09,1,7,0,,,degree：單人佔 30.6% > 30%；entry_year：母數 1 < 10、單人佔 100.0% > 30%
B,10,1,3,1,,,degree：單人佔 30.6% > 30%；entry_year：母數 1 < 10、單人佔 100.0% > 30%
B,11,4,59,3,,,degree：單人佔 30.6% > 30%；entry_year：母數 4 < 10、單人佔 67.8% > 30%
B,12,13,1639,44,,,degree：單人佔 30.6% > 30%；entry_year：單人佔 37.0% > 30%
B,13,4,120,7,,,degree：單人佔 30.6% > 30%；entry_year：單人佔 30.2% > 30%
B,14,3,154,10,,,degree：單人佔 30.6% > 30%；entry_year：單人佔 79.3% > 30%
D,08,1,11,3,,,degree：母數 5 < 10、單人佔 39.1% > 30%；entry_year：母數 1 < 10、單人佔 100.0% > 30%
D,13,2,45,15,,,degree：母數 5 < 10、單人佔 39.1% > 30%；entry_year：單人佔 30.2% > 30%
D,14,2,59,7,,,degree：母數 5 < 10、單人佔 39.1% > 30%；entry_year：單人佔 79.3% > 30%
M,13,4,24,2,,,degree：單人佔 82.8% > 30%；entry_year：單人佔 30.2% > 30%
M,14,7,1957,17,,,degree：單人佔 82.8% > 30%；entry_year：單人佔 79.3% > 30%
M,15,1,97,0,,,degree：單人佔 82.8% > 30%；entry_year：母數 1 < 10、單人佔 100.0% > 30%
