date_taipei,n_users,n_requests,request_share,tokens,cost_usd,cost_share,cost_per_request,suppression_reason
2026-07-30,91,6205,0.0515,276945768,195.09,0.071,0.031441,依政策豁免抑制（此維度分的是請求不是人）
2026-07-31,77,3212,0.0267,157760954,121.35,0.0441,0.037779,依政策豁免抑制（此維度分的是請求不是人）
2026-08-01,30,1414,0.0117,105662309,49.83,0.0181,0.035237,依政策豁免抑制（此維度分的是請求不是人）
2026-08-02,32,1590,0.0132,97983716,78.39,0.0285,0.049303,依政策豁免抑制（此維度分的是請求不是人）
2026-08-03,66,2369,0.0197,132545699,63.15,0.023,0.026657,依政策豁免抑制（此維度分的是請求不是人）
2026-08-04,84,22225,0.1844,229628976,83.32,0.0303,0.003749,依政策豁免抑制（此維度分的是請求不是人）
2026-08-05,101,22093,0.1833,335142132,161.07,0.0586,0.007291,依政策豁免抑制（此維度分的是請求不是人）
2026-08-06,101,7253,0.0602,257815029,198.48,0.0722,0.027366,依政策豁免抑制（此維度分的是請求不是人）
2026-08-07,67,1953,0.0162,94777471,46.8,0.017,0.023962,依政策豁免抑制（此維度分的是請求不是人）
2026-08-10,40,6886,0.0571,128040812,60.76,0.0221,0.008824,依政策豁免抑制（此維度分的是請求不是人）
2026-08-11,115,7900,0.0655,295119125,239.94,0.0873,0.030373,依政策豁免抑制（此維度分的是請求不是人）
2026-08-12,107,6022,0.05,355824675,186.98,0.068,0.03105,依政策豁免抑制（此維度分的是請求不是人）
2026-08-13,76,5008,0.0416,410404903,190.77,0.0694,0.038093,依政策豁免抑制（此維度分的是請求不是人）
2026-08-14,74,3032,0.0252,176506862,101.95,0.0371,0.033626,依政策豁免抑制（此維度分的是請求不是人）
2026-08-15,31,1496,0.0124,118869625,33.06,0.012,0.0221,依政策豁免抑制（此維度分的是請求不是人）
2026-08-16,29,2403,0.0199,73332313,53.71,0.0195,0.02235,依政策豁免抑制（此維度分的是請求不是人）
2026-08-17,40,1180,0.0098,72515847,66.47,0.0242,0.05633,依政策豁免抑制（此維度分的是請求不是人）
2026-08-18,74,2579,0.0214,86015372,90.53,0.0329,0.035104,依政策豁免抑制（此維度分的是請求不是人）
2026-08-19,92,3014,0.025,127265739,62.59,0.0228,0.020766,依政策豁免抑制（此維度分的是請求不是人）
2026-08-20,69,3955,0.0328,210667777,218.49,0.0795,0.055243,依政策豁免抑制（此維度分的是請求不是人）
2026-08-21,70,3228,0.0268,217640628,200.58,0.073,0.062137,依政策豁免抑制（此維度分的是請求不是人）
2026-08-22,37,3659,0.0304,135226102,157.94,0.0574,0.043166,依政策豁免抑制（此維度分的是請求不是人）
2026-08-23,32,1612,0.0134,159595744,79.42,0.0289,0.049268,依政策豁免抑制（此維度分的是請求不是人）
2026-08-24,9,232,0.0019,10785284,8.64,0.0031,0.037247,依政策豁免抑制（此維度分的是請求不是人）
