model_family,n_users,n_requests,request_share,cost_usd,cost_share,input_cost,cached_cost,cache_write_cost,output_cost,pricing_status,suppression_reason
gpt-5.6-sol,167,17829,0.1479,1618.5,0.5887,375.2,458.38,449.11,335.81,priced×17829,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.4-mini,201,27807,0.2307,367.84,0.1338,129.78,130.53,0.0,107.53,priced×27807,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.5,79,3248,0.0269,321.15,0.1168,172.73,85.82,0.0,62.6,priced×3248,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.6-terra,132,4280,0.0355,160.42,0.0584,46.46,34.83,56.68,22.46,priced×4280,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.4,106,5351,0.0444,142.8,0.0519,66.46,45.86,0.0,30.48,priced×5351,依政策豁免抑制（此維度分的是請求不是人）
gpt-4.1,19,3934,0.0326,41.83,0.0152,18.62,1.96,0.0,21.25,priced×3934,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.6-luna,242,9767,0.081,31.42,0.0114,8.21,9.42,10.01,3.78,priced×9767,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.2-chat-latest,2,783,0.0065,26.03,0.0095,10.03,12.03,0.0,3.97,priced×783,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.3-codex,9,271,0.0022,11.21,0.0041,6.56,2.09,0.0,2.56,priced×271,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.5-pro,20,62,0.0005,10.93,0.004,2.93,0.0,0.0,8.0,priced×62,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.2,18,211,0.0018,4.7,0.0017,2.14,1.11,0.0,1.45,priced×211,依政策豁免抑制（此維度分的是請求不是人）
gpt-5,7,253,0.0021,3.98,0.0014,0.55,0.02,0.0,3.41,priced×253,依政策豁免抑制（此維度分的是請求不是人）
text-embedding-3-large,2,869,0.0072,1.72,0.0006,1.72,0.0,0.0,0.0,priced×869,依政策豁免抑制（此維度分的是請求不是人）
gpt-5.4-pro,18,19,0.0002,1.55,0.0006,0.05,0.0,0.0,1.49,priced×19,依政策豁免抑制（此維度分的是請求不是人）
gpt-4o-mini,27,1748,0.0145,1.48,0.0005,1.37,0.01,0.0,0.11,priced×1748,依政策豁免抑制（此維度分的是請求不是人）
gpt-4o,8,341,0.0028,1.48,0.0005,0.98,0.06,0.0,0.44,priced×341,依政策豁免抑制（此維度分的是請求不是人）
chat-latest,4,37,0.0003,0.75,0.0003,0.43,0.04,0.0,0.28,priced×37,依政策豁免抑制（此維度分的是請求不是人）
gpt-4.1-mini,21,378,0.0031,0.61,0.0002,0.35,0.23,0.0,0.03,priced×378,依政策豁免抑制（此維度分的是請求不是人）
