dept_code,dept_name,college,degrees,dept_key,effective_year_start,effective_year_end
00,臨醫所,醫學院,MD,00,,
01,生醫所,醫學院,MD,09,,
02,醫學系,醫學院,(未查證),02,,
03,醫技系/醫放系,醫學院,BMD,03,,
04,護理系/學士後護理,醫學院,BMD,04,,
05,中醫系,醫學院,BMD,05,,
06,職治系,醫學院,(未查證),06,,
07,物治系,醫學院,BMD,07,,
08,呼治系,醫學院,(未查證),08,,
09,生醫系,醫學院,B,09,,
15,生物科技產業,醫學院,MD,15,,
17,免疫所,醫學院,MD,17,,
21,電機系,工學院,BMD,21,,
22,機械系,工學院,BMD,22,,
23,化材系,工學院,BMD,23,,
26,醫工系,工學院,B,26,,
27,電子系,工學院,BMD,27,,
29,資工系,工學院,BMD,29,,
31,醫工所,工學院,MD,26,,
32,奈米工程設計,工學院,MD,32,,
28,人工智慧學系,智慧運算學院,B,28,,
61,人工智慧系,智慧運算學院,MD,28,,
40,管研所,管理學院,MD,40,,
41,醫管系,管理學院,(未查證),41,,
42,工設系,管理學院,(未查證),42,,
43,工商系,管理學院,(未查證),43,,
44,資管系,管理學院,BMD,44,,
45,數金科系,管理學院,BMD,45,,
